

windninja coords prjStr = "PROJCS["WGS 84 / UTM zone 29N",GEOGCS["WGS 84",DATUM["WGS_1984",SPHEROID["WGS 84",6378137,298.257223563,AUTHORITY["EPSG","7030"]],AUTHORITY["EPSG","6326"]],PRIMEM["Greenwich",0,AUTHORITY["EPSG","8901"]],UNIT["degree",0.0174532925199433,AUTHORITY["EPSG","9122"]],AUTHORITY["EPSG","4326"]],PROJECTION["Transverse_Mercator"],PARAMETER["latitude_of_origin",0],PARAMETER["central_meridian",-9],PARAMETER["scale_factor",0.9996],PARAMETER["false_easting",500000],PARAMETER["false_northing",0],UNIT["metre",1,AUTHORITY["EPSG","9001"]],AXIS["Easting",EAST],AXIS["Northing",NORTH],AUTHORITY["EPSG","32629"]]"

windninja coords crs = "+proj=utm +zone=29 +datum=WGS84 +units=m +no_defs"


nStations = 108


"station_number","station_category","station_longName","station_acronym","station_subcategory","station_longitudeAsStr","station_latitudeAsStr","station_longitudeAsNbr","station_latitudeAsNbr","station_projCoords_xAsStr","station_projCoords_yAsStr","station_projCoords_xAsNbr","station_projCoords_yAsNbr","station_projCoordsType","station_installationDate","station_commisioningDate","station_decomissioningDate","station_removalDate","station_elevation","station_elevationUnits","station_elevationUnitsType","station_otherObs","station_dataName","station_wn_x","station_wn_y"
1,"Towers","Tower station 1","trNW_01","Towers-020","7°45′10.17″W","39°42′33.39″N",-7.752825,39.709275,"32611.28E","4623.17N",32611.28,4623.17,"EPSG:3763","2017-01-04","2017-04-20","2017-06-14","2017-06-24",NA,"","","","tnw01",606910.155427588,4396233.86134145
2,"Towers","Tower station 2","trNW_02","Towers-020","7°45′2.04″W","39°42′37.48″N",-7.75056666666667,39.7104111111111,"32804.29E","4750.27N",32804.29,4750.27,"EPSG:3763","2017-01-04","2017-05-08","2017-06-14","2017-06-24",NA,"","","(*) tower with booms in opposite orientations","tnw02",607101.992553942,4396362.65298408
3,"Towers","Tower station 3","trNW_03","Towers-010","7°44′57.26″W","39°42′41.06″N",-7.74923888888889,39.7114055555556,"32917.67E","4860.89N",32917.67,4860.89,"EPSG:3763","2017-01-16","2017-02-01","2017-06-14","2017-06-21",NA,"","","","tnw03",607214.27395969,4396474.61286674
4,"Towers","Tower station 4","trNW_04","Towers-020","7°44′47.12″W","39°42′44.37″N",-7.74642222222222,39.712325,"33158.81E","4964.16N",33158.81,4964.16,"EPSG:3763","2017-05-03","2017-05-07","2017-06-14","2017-06-21",NA,"","","(*) tower with booms in opposite orientations","tnw04",607454.296813242,4396580.03363137
5,"Towers","Tower station 5","trNW_05","Towers-020","7°44′45.23″W","39°42′46.86″N",-7.74589722222222,39.7130166666667,"33203.54E","5041.16N",33203.54,5041.16,"EPSG:3763","2017-01-04","2017-04-15","2017-06-14","2017-06-21",NA,"","","(*) tower with booms in opposite orientations","tnw05",607498.226359469,4396657.43081438
6,"Towers","Tower station 6","trNW_06","Towers-020","7°44′35.51″W","39°42′52.76″N",-7.74319722222222,39.7146555555556,"33434.16E","5224.15N",33434.16,5224.15,"EPSG:3763","2017-01-04","2017-04-17","2017-06-14","2017-06-21",NA,"","","","tnw06",607727.119930823,4396842.57139433
7,"Towers","Tower station 7","trNW_07","Towers-060","7°44′29.07″W","39°42′56.86″N",-7.74140833333333,39.7157944444444,"33587.18E","5351.36N",33587.18,5351.36,"EPSG:3763","2016-12-20","2017-01-16","2017-06-14","2017-06-21",NA,"","","","tnw07",607878.68499129,4396971.12743069
8,"Towers","Tower station 8","trNW_08","Towers-020","7°44′22.23″W","39°43′0.98″N",-7.73950833333333,39.7169388888889,"33749.53E","5479.08N",33749.53,5479.08,"EPSG:3763","2017-05-04","2017-05-08","2017-06-14","2017-06-21",NA,"","","","tnw08",608039.760197812,4397100.4370936
9,"Towers","Tower station 9","trNW_09","Towers-020","7°44′17.40″W","39°43′4.49″N",-7.73816666666667,39.7179138888889,"33864.06E","5587.77N",33864.06,5587.77,"EPSG:3763","2016-12-14","2017-01-31","2017-06-14","2017-06-21",NA,"","","","tnw09",608153.237970711,4397210.26991467
10,"Towers","Tower station 10","trNW_10","Towers-060","7°44′13.70″W","39°43′5.78″N",-7.73713888888889,39.7182722222222,"33952.07E","5628.1N",33952.07,5628.1,"EPSG:3763","2016-11-29","2017-01-19","2017-06-14","2017-09-21",NA,"","","","tnw10",608240.772423881,4397251.2817254
